organ,day,peak,denominator_peak,ctrl_n,rapa_n,ctrl_mean,rapa_mean,ctrl_sem,rapa_sem,t_statistic,p_value,significance
Ovary,D10,1260,2930,14,11,0.2077492521258074,0.18307948454709172,0.013012028049380944,0.00907871697202043,-1.5548640243446896,0.13426716665571892,ns
Ovary,D10,1300,2930,14,11,0.24207192819149032,0.22746199123598695,0.011077187432266811,0.006114758629490139,-1.154676516035974,0.262005973072698,ns
Ovary,D10,1442,2930,14,11,0.25090034503905245,0.23478740614765972,0.009110572207684447,0.013017816788420688,-1.0140823914597303,0.323460171882041,ns
Ovary,D10,1580,2930,14,11,0.1210958805600572,0.09823672972523999,0.01670175107547203,0.009150576942334968,-1.2003208868096287,0.24427062016512746,ns
Ovary,D10,1655,2930,14,11,0.2054923599576217,0.18151736135912513,0.01220107667470109,0.012666934043674442,-1.3631898748822504,0.18639366228346432,ns
Ovary,D10,2142,2930,14,11,0.034393969984570234,0.018257688446549073,0.0024908045932423486,0.006045609589461091,-2.4678434782152983,0.027781850925293484,*
Ovary,D10,2180,2930,14,11,0.040115674362000024,0.024819225222489694,0.0019388515248015808,0.006176243422697916,-2.3629636507705016,0.035891982739628396,*
Ovary,D40,1260,2930,5,10,0.14013139549767462,0.26371555824291637,0.016472846061660367,0.0157014180050898,5.4305572801033675,0.00023093504140271368,***
Ovary,D40,1300,2930,5,10,0.19749311402694056,0.30797759460648666,0.019752800493560808,0.025825523125469117,3.3981059903377724,0.004869482074526287,**
Ovary,D40,1442,2930,5,10,0.23576075762901416,0.33615726792611905,0.01898401565605701,0.025584514149660238,3.151331626155741,0.007739260230262823,**
Ovary,D40,1580,2930,5,10,0.049290910844576055,0.17960095555472516,0.020494375080295692,0.027162962673504803,3.829591963896113,0.0021380582865382076,**
Ovary,D40,1655,2930,5,10,0.1697133597712091,0.30363075363443837,0.024783520164972078,0.028165042406514407,3.569553919956841,0.003825959054198117,**
Ovary,D40,2142,2930,5,10,0.0,0.008585367049575162,0.0,0.003537692531565048,2.426826801077894,0.0381807487447651,*
Ovary,D40,2180,2930,5,10,0.004610398105441259,0.019571563920951225,0.004610398105441258,0.004295223718052939,2.374348048592126,0.03796667252348608,*
